Crime;Drama;Fantasy;Horror;Romance;Comedy;Thriller;Animation;Short;Family;Mystery;Action;Adventure;Sci-Fi;Music;Biography;Sport;History;War;Documentary;Film-Noir;Musical;Game-Show;Western;Reality-TV;Talk-Show;News;Adult;Title;GenreCluster;Languages;Series or Movie;Country Availability;Runtime;Actors;View Rating;Alternative Score;Awards Received;Awards Nominated For;Release Year;Netflix Release Year;Difference Date;IMDb Votes;IMDb Score
1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Lets Fight Ghost;A;3;Series;1;< 30 minutes;4;M;Excelent;50;50;2008;2021;12.23;50000;Good
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HOW TO BUILD A GIRL;B;1;Movie;1;1-2 hour;4;M;Excelent;1;0;2020;2021;0.82;10000;Bad
0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Centigrade;A;1;Movie;1;1-2 hour;2;NR;Bad;0;0;2020;2021;0.52;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ANNE+;A;1;Series;5;< 30 minutes;4;NR;Bad;1;0;2016;2021;4.42;10000;Bad
0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Moxie;A;1;Movie;36;1-2 hour;1;NR;Bad;0;5;2011;2021;9.45;100;Bad
0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Con-Heartist;B;1;Movie;1;> 2 hrs;4;NR;Bad;0;0;2020;2021;0.25;10000;Good
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Gleboka woda;A;1;Series;1;< 30 minutes;4;NR;Bad;5;5;2011;2021;9.73;100;Good
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Instynkt;A;1;Series;1;< 30 minutes;4;NR;Bad;0;0;2011;2021;10.01;10000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Only a Mother;A;1;Movie;15;1-2 hour;4;NR;Bad;5;1;1949;2021;71.39;100;Bad
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Snowroller;B;5;Movie;35;1-2 hour;4;NR;Bad;0;0;1985;2021;35.44;10000;Bad
0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sunes Summer;D;1;Movie;35;1-2 hour;4;NR;Bad;0;10;2018;2021;2.26;10000;Bad
1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Invisible;A;1;Movie;15;1-2 hour;4;GP;Bad;0;1;2007;2021;13.86;50000;Bad
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Simple Minded Murderer;A;3;Movie;35;1-2 hour;4;NR;Excelent;10;5;1985;2021;35.53;10000;Good
0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;The Stig-Helmer Story;B;3;Movie;35;1-2 hour;4;NR;Bad;0;1;2011;2021;9.19;10000;Bad
0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;To Kill a Child;A;1;Movie;35;< 30 minutes;4;NR;Bad;5;5;2011;2021;10.07;100;Good
1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Joker;A;1;Movie;15;1-2 hour;4;M;Good;50;50;2019;2021;1.41;50000;Good
